run_id,run_name,state,created_at,url,summary.f1,summary.map50,summary.map50_95,summary.precision,summary.recall,summary.train_time_s,config.lr0,config.batch,config.model,config.epochs,config.weight_decay,summary.epoch,summary.lr,summary.train/detection_f1,summary.train/fire_iou,summary.train/loss,summary.val/detection_f1,summary.val/fire_dice,summary.val/fire_iou,summary.val/fire_precision,summary.val/fire_recall,summary.val/loss,summary.val/mean_iou,config.device,config.batch_size,config.num_epochs,config.focal_gamma,config.in_channels,config.num_classes,config.patches_dir,config.learning_rate,config.use_focal_loss,config.use_fire_augment,config.use_class_weights,config.fire_sample_weight,config.use_weighted_sampling,summary.train/acc,summary.train/f1,summary.train/precision,summary.train/recall,summary.val/acc,summary.val/auc,summary.val/f1,summary.val/precision,summary.val/recall,config.dropout,config.pos_weight,summary.train/mean_iou,config.lr,config.dual_head,config.checkpoint,config.severity_finetune,config.architecture,config.encoder_name,config.sen2fire_dir,config.combined_binary
87r90end,v3_finetune_severity_resnet34_unet,finished,2026-03-08T22:07:06Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/87r90end,,,,,,,,,,30.0,,8.0,0.0005,,0.3159714341163635,0.9282020865546332,,,0.3714628517627716,,0.5655422806739807,0.694606572886308,0.3351731300354004,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.31964465975761414,0.001,True,output/v3_combined_binary_resnet34_unet/checkpoints/best_model.pt,True,,,,
z0q19ck5,v3_combined_binary_resnet50_deeplabv3plus,finished,2026-03-08T20:56:26Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/z0q19ck5,,,,,,,,,,50.0,,17.0,5e-05,0.9062944441730794,0.7939324975013733,0.13334748693257306,0.8586951526357158,,0.7724149823188782,,0.9181291460990906,0.19353394390871892,,,16.0,,,8.0,2.0,../patches,,,,,,,,,,,,,,,,,,,0.0001,False,,,deeplabv3plus,resnet50,../data-sen2fire,True
nl5x5fj2,v3_finetune_severity_efficientnet-b2_unetpp,finished,2026-03-08T20:16:58Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/nl5x5fj2,,,,,,,,,,30.0,,19.0,0.0005,,0.2997207045555115,0.9611546614434984,,,0.3863070607185364,,0.596482515335083,0.7047413527965546,0.33883562684059143,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.29874086380004883,0.001,True,output/v3_combined_binary_efficientnet-b2_unetpp/checkpoints/best_model.pt,True,,,,
3xeahgrh,v3_combined_binary_efficientnet-b2_unetpp,finished,2026-03-08T17:07:33Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/3xeahgrh,,,,,,,,,,50.0,,15.0,5e-05,0.8950378750234975,0.7969319820404053,0.13311243657108127,0.8710985507239088,,0.7612375020980835,,0.9355503916740416,0.18437099658812467,,,16.0,,,8.0,2.0,../patches,,,,,,,,,,,,,,,,,,,0.0001,False,,,unetplusplus,efficientnet-b2,../data-sen2fire,True
pra4ewof,v3_finetune_severity_mobilenet_unet,finished,2026-03-08T16:51:15Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/pra4ewof,,,,,,,,,,30.0,,12.0,0.00025,,0.30705732107162476,0.9809422837363349,,,0.2691933512687683,,0.3960276246070862,0.7648851335048675,0.30026954412460327,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.29337984323501587,0.001,True,output/v3_combined_binary_mobilenet_unet/checkpoints/best_model.pt,True,,,,
w2klain9,v3_combined_binary_mobilenet_unet,finished,2026-03-08T16:07:33Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/w2klain9,,,,,,,,,,50.0,,12.0,5e-05,0.8809699328608941,0.7609553337097168,0.15817108467825716,0.8612435192757034,,0.7571678757667542,,0.9140947461128236,0.19233851940012897,,,16.0,,,8.0,2.0,../patches,,,,,,,,,,,,,,,,,,,0.0001,False,,,unet,mobilenet_v2,../data-sen2fire,True
slukfegt,v3_finetune_severity_resnet18_unet,finished,2026-03-08T15:56:40Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/slukfegt,,,,,,,,,,30.0,,11.0,0.0005,,0.31764620542526245,0.9749202415678236,,,0.3640991747379303,,0.5752789974212646,0.7285339320699374,0.32397228479385376,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.3012954890727997,0.001,True,output/v3_combined_binary_resnet18_unet/checkpoints/best_model.pt,True,,,,
embjzx6b,v3_combined_binary_resnet18_unet,finished,2026-03-08T15:18:21Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/embjzx6b,,,,,,,,,,50.0,,14.0,5e-05,0.892051175383184,0.7858632802963257,0.1420014491222628,0.835064438851702,,0.7654284238815308,,0.921806812286377,0.19730994149755973,,,16.0,,,8.0,2.0,../patches,,,,,,,,,,,,,,,,,,,0.0001,False,,,unet,resnet18,../data-sen2fire,True
xihz71ht,v3_finetune_severity_efficientnet_unetpp,finished,2026-03-08T15:03:58Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/xihz71ht,,,,,,,,,,30.0,,18.0,0.00025,,0.2876497209072113,0.99819689406289,,,0.3488001227378845,,0.5365298986434937,0.7292577048142751,0.31671610474586487,,16.0,,,8.0,5.0,../patches_gra,,,,,,,,,,,,,,,,,,0.2895105481147766,0.001,True,output/v3_combined_binary_efficientnet_unetpp/checkpoints/best_model.pt,True,,,,
q8ibpk5p,v3_combined_binary_efficientnet_unetpp,finished,2026-03-08T13:25:19Z,https://wandb.ai/adrian-corvin-salceanu-upc-barcelona/fire-detection/runs/q8ibpk5p,,,,,,,,,,50.0,,11.0,5e-05,0.8806508832562412,0.7706466317176819,0.15330780001202798,0.8223215062437113,,0.6736388206481934,,0.949223816394806,0.2163216279676327,,,16.0,,,8.0,2.0,../patches,,,,,,,,,,,,,,,,,,,0.0001,False,,,unetplusplus,efficientnet-b1,../data-sen2fire,True
